p95,QPS,target
588.4,4983.0,5000
735.2,9955.8,10000
847.3,14950.8,15000
930.8,20027.8,20000
992.3,24851.0,25000
1069.1,30042.8,30000
1158.5,34773.8,35000
1227.6,40001.8,40000
1293.2,45017.8,45000
1301.9,49818.2,50000
1316.9,54690.2,55000
1370.1,59863.8,60000
1371.3,64976.0,65000
1401.0,69813.8,70000
1452.1,74915.7,75000
1444.3,79961.2,80000
1466.3,84912.0,85000
1543.2,90024.4,90000
1730.3,94875.6,95000
1747.4,99960.6,100000
1955.1,104036.6,105000
1850.4,104706.7,110000
1875.4,109512.5,115000
1901.5,105565.8,120000
