p95 QPS
4000.4 4997.4
3702.5 10020.8
3490.0 15028.4
3506.0 19966.8
6354.4 24894.6
9116.5 25079.4
9028.8 23357.2
9482.2 22308.4
9238.9 25839.0
9842.5 21929.8
9200.4 23425.6
