p95 QPS
940.0 5009.6
1047.9 10003.8
1302.1 14920.2
1265.3 19984.6
1380.3 25093.0
1590.3 29938.4
1457.4 35063.2
1418.5 39814.2
1713.4 45019.0
1869.0 49723.4
2222.1 50369.8
