p95,QPS,target
478.5,4933.2,5000
624.1,9986.0,10000
714.6,14964.2,15000
815.9,19866.4,20000
816.1,25017.2,25000
922.7,29982.0,30000
876.8,35038.1,35000
1007.6,40109.8,40000
920.9,44794.2,45000
816.0,49949.6,50000
795.2,55048.2,55000
843.0,60095.6,60000
805.3,65189.4,65000
796.9,69969.0,70000
843.7,75199.4,75000
762.5,79941.6,80000
898.7,84809.0,85000
912.3,89935.0,90000
810.5,94927.2,95000
763.0,100081.4,100000
754.1,104706.7,105000
789.4,110041.2,110000
796.8,114909.0,115000
903.0,119536.4,120000
