p95,QPS,target
692.7,5097.0,5000
870.9,9920.6,10000
1013.8,14990.2,15000
1185.7,20088.6,20000
1283.1,24845.5,25000
1366.9,29904.8,30000
1538.2,35014.2,35000
1582.2,39930.2,40000
1560.4,44987.0,45000
1604.0,50003.0,50000
1737.7,55020.2,55000
1733.4,59945.2,60000
1936.2,64994.2,65000
1872.6,69992.2,70000
2063.9,74471.0,75000
2172.5,69247.2,80000
2158.1,72352.6,85000
2034.6,76665.4,90000
2200.9,68873.0,95000
2177.6,68931.6,100000
2124.9,71633.4,105000
2121.1,73814.4,110000
2110.2,72645.8,115000
2157.9,70966.8,120000
