p95 QPS
925.9 4957.6
1192.8 9927.4
1339.1 14979.5
1481.9 19875.2
1381.8 25132.6
1333.3 29955.8
1381.7 34950.4
1413.2 39980.4
1457.4 44907.0
1615.0 49976.2
1995.7 54208.8
