p95,QPS,target
520.3,4920.0,5000
730.8,9965.8,10000
854.4,15028.2,15000
901.6,19935.0,20000
984.5,24967.7,25000
974.6,29890.0,30000
968.8,34826.2,35000
1000.8,40048.8,40000
1014.0,44980.4,45000
1108.6,50048.6,50000
1049.8,55014.0,55000
1040.3,59806.0,60000
994.5,65083.6,65000
1182.2,70004.8,70000
1165.9,74873.9,75000
1412.7,78597.4,80000
1478.6,77060.2,85000
1537.9,74562.2,90000
1536.0,74303.8,95000
1472.4,77535.9,100000
1481.9,76962.2,105000
1423.3,80334.6,110000
1482.4,76883.8,115000
1492.5,76365.4,120000
