p95 QPS
799.3 4936.8
1044.6 9926.6
1208.6 14989.3
1191.8 19937.8
1448.3 25078.6
1435.4 30009.4
1414.0 35015.4
1725.9 40110.2
1776.8 44891.2
2190.0 49378.0
2292.5 50147.8
