p95 QPS
1065.8 5001.4
1259.1 9962.2
1357.7 14975.6
1489.4 19954.8
1568.1 24936.2
1605.8 29906.4
1532.1 35002.7
1551.7 39859.7
1687.3 44952.8
2052.9 49468.6
2375.2 50190.2
