p95,QPS,target
600.6,4947.0,5000
863.7,10059.2,10000
1014.4,15022.8,15000
1119.8,19983.0,20000
1247.1,24924.2,25000
1541.0,29988.8,30000
1598.2,35060.2,35000
1575.9,40027.0,40000
1574.1,45026.6,45000
1685.9,49972.6,50000
1839.5,54903.2,55000
1811.4,60064.0,60000
1812.6,64950.4,65000
2035.6,69617.0,70000
2026.2,74428.2,75000
2056.1,72513.6,80000
2121.2,73269.4,85000
2052.8,74769.1,90000
2107.2,74238.2,95000
2162.3,73074.6,100000
2030.2,76586.1,105000
2054.9,74682.4,110000
2132.0,72625.9,115000
2098.5,74704.4,120000
