p95,QPS,target
547.8,4976.4,5000
708.0,10121.6,10000
833.3,15107.8,15000
911.2,20076.4,20000
985.9,25054.8,25000
981.6,29957.0,30000
1053.1,34796.8,35000
1009.7,40155.6,40000
1003.5,44959.4,45000
1043.5,50036.0,50000
1020.8,55149.4,55000
1129.4,60113.9,60000
1080.9,64840.9,65000
1291.1,69930.3,70000
1604.2,71097.2,75000
1689.3,67556.6,80000
1585.7,71922.4,85000
1590.1,71736.2,90000
1594.7,71969.6,95000
1492.7,75552.3,100000
1574.5,72693.1,105000
1686.2,68477.2,110000
1582.0,72560.8,115000
1514.4,75428.2,120000
