p95 QPS
998.4 5000.4
1223.1 10026.2
1369.9 15040.0
1440.7 20110.4
1464.9 24986.6
1507.3 30051.6
1490.1 35127.0
1484.8 40118.0
1876.2 45020.6
1896.2 50036.2
2010.6 54819.2
