p95 QPS
1116.0 4988.8
1808.8 9917.8
1775.4 14976.0
2145.5 19949.6
2483.3 24933.2
3383.0 29726.6
3764.0 30297.0
3737.1 32137.6
4456.9 28410.0
3422.9 32294.8
3487.5 32130.5
