p95,QPS,target
550.5,4912.2,5000
772.8,10034.4,10000
1019.7,15041.2,15000
1152.7,19935.8,20000
1262.8,24782.2,25000
1335.7,29945.6,30000
1405.2,34874.7,35000
1457.6,39832.3,40000
1535.9,44868.6,45000
1671.8,49880.6,50000
1626.0,54829.0,55000
1660.1,59784.7,60000
1951.7,64908.2,65000
1975.6,69932.8,70000
2105.3,74550.0,75000
2107.5,71403.3,80000
1946.8,80292.6,85000
2133.9,70406.0,90000
2086.9,73155.4,95000
2030.2,75666.2,100000
1972.0,80670.3,105000
2142.1,70685.8,110000
2063.9,73062.2,115000
2108.8,74701.4,120000
