p95,QPS,target
536.7,4962.8,5000
757.5,10065.6,10000
842.3,14929.6,15000
939.8,20103.4,20000
991.0,24973.2,25000
1003.2,29948.6,30000
1028.4,35020.6,35000
1004.0,40018.8,40000
989.4,44962.6,45000
1005.8,49993.0,50000
1011.8,54922.8,55000
1042.1,59910.1,60000
1201.3,65072.2,65000
1598.7,69657.4,70000
1639.5,69550.0,75000
1591.9,71920.2,80000
1674.2,68768.9,85000
1637.2,69580.4,90000
1687.3,68029.8,95000
1700.0,67468.8,100000
1637.0,69938.1,105000
1618.6,70135.2,110000
1681.2,68257.7,115000
1640.7,69575.4,120000
