p95 QPS
3925.1 4911.6
3661.6 10042.2
3451.6 14906.8
3087.3 20062.2
3402.1 24933.4
9051.2 27457.0
9118.6 26857.4
6660.3 28020.0
9360.4 26855.8
9071.0 26705.4
7976.8 28760.6
