p95,QPS,target
502.9,4950.2,5000
653.0,9865.6,10000
740.7,15050.0,15000
805.3,19959.8,20000
862.1,25017.2,25000
850.9,30006.6,30000
902.9,34659.0,35000
867.4,39865.2,40000
818.1,44727.0,45000
768.3,49822.6,50000
807.4,55111.2,55000
844.1,59770.2,60000
848.2,64824.2,65000
934.9,69902.4,70000
830.3,74858.6,75000
803.7,80050.3,80000
759.5,84869.6,85000
806.1,90041.3,90000
740.9,94760.8,95000
742.5,99951.6,100000
755.1,104791.4,105000
839.5,109770.4,110000
945.5,114810.0,115000
827.6,119610.2,120000
