#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      299.7   390.3    68.9   129.8   146.2   252.1   304.4   336.4   361.5   392.8   435.6   515.2   909.1  6182.9 12702.7  29950.0    30000
read      331.5   451.1    80.4   131.1   148.9   274.5   334.0   371.1   399.7   435.2   485.0   572.6  1153.7  6844.7 13175.5  29997.4    30010
read      319.0   459.7    80.4   129.7   146.4   265.3   322.2   358.2   385.4   418.5   462.6   541.6   973.4  6822.6 15247.3  30016.7    30020
read      305.7   410.2    80.4   129.0   144.8   254.5   308.7   341.7   367.7   399.0   441.1   517.7  1034.7  6384.4 11617.8  30004.3    30030
read      289.5   401.3    74.4   127.8   142.9   243.7   293.8   323.4   346.4   375.6   415.5   482.9   789.5  6201.8 12595.4  30007.0    30040
read      280.6   433.5    74.4   129.1   144.6   239.3   285.3   312.1   332.6   358.4   394.3   458.1   670.5  5862.9 19653.1  30048.1    30050
read      267.6   212.0    74.4   124.5   142.9   246.9   293.0   320.0   340.8   366.1   399.5   457.3   602.0  1943.8  9282.1  30002.9    30060
read      270.1   209.4    74.4   127.4   144.4   247.3   294.4   321.5   342.6   368.3   402.5   462.7   619.9  2319.1  8644.5  30052.5    30070
read      269.9   220.3    74.4   128.9   145.3   245.7   293.2   320.7   342.4   369.2   404.6   464.9   614.5  2330.8  8945.9  30119.2    30080
read      262.0   205.6    68.9   128.6   143.8   238.4   285.0   312.2   332.6   357.6   391.1   446.3   592.0  2151.7  8482.6  30088.1    30090
read      258.1   216.1    74.4   128.4   143.9   234.3   279.3   305.9   325.4   349.2   381.6   433.3   575.5  2156.3  8715.5  30050.9    30100
read      270.6   226.7    74.4   127.8   144.4   246.9   293.4   320.4   341.4   367.6   402.1   463.6   628.4  2786.4  9034.9  30173.3    30110
read      272.8   215.2    74.4   130.2   145.9   247.5   297.2   326.3   347.7   375.4   414.0   474.7   627.6  2098.5  8575.8  30109.3    30120
read      273.4   202.8    74.4   130.1   147.2   249.7   299.2   327.6   348.8   375.4   413.1   473.2   624.4  2090.2  8588.9  30114.6    30130
read      275.8   232.7    74.4   130.6   147.5   250.4   299.3   327.4   348.1   374.8   412.6   474.0   634.9  2876.2  8726.9  30079.3    30140
read      260.3   221.3    74.4   128.1   143.5   236.7   282.0   308.2   327.5   351.2   383.6   437.3   591.1  2377.1  8945.3  30126.4    30150
read      272.6   215.7    74.4   128.6   143.7   241.7   290.2   317.9   339.3   365.9   402.7   477.6   841.7  2355.0  8226.1  30230.0    30160
