p95 QPS
4185.4 5061.2
3554.8 10047.4
3319.1 14951.4
4434.8 20062.4
5352.8 24932.8
6777.3 27285.2
9167.7 27242.2
8310.0 25345.6
8747.1 25820.2
9163.9 25195.2
7185.2 26380.4
