p95,QPS,target
572.5,5006.2,5000
747.1,10010.6,10000
851.3,14971.8,15000
912.5,20057.6,20000
1007.0,25131.3,25000
1043.0,30060.8,30000
1001.0,34921.0,35000
1004.9,39985.2,40000
1010.6,44944.4,45000
1006.5,49706.9,50000
1014.2,54994.4,55000
1089.6,59934.2,60000
996.5,65040.3,65000
1313.8,69932.8,70000
1343.2,74843.6,75000
1731.6,68000.7,80000
1700.1,68570.2,85000
1523.0,74806.2,90000
1541.2,74394.2,95000
1491.1,76580.4,100000
1492.5,76275.6,105000
1432.4,80019.6,110000
1515.8,75523.8,115000
1567.9,73685.0,120000
