p95 QPS
805.5 4931.8
1140.7 10047.4
1271.4 15021.8
1333.5 19944.6
2054.8 25026.2
1695.5 30104.2
1471.0 34949.0
1500.0 39964.2
1422.8 45110.7
1530.6 49852.0
1918.8 54959.2
