p95,QPS,target
562.4,5024.0,5000
714.7,10003.6,10000
868.7,14812.0,15000
986.1,19951.6,20000
951.6,25062.4,25000
1005.2,29994.7,30000
998.7,34913.2,35000
1032.7,40025.8,40000
1003.8,44918.2,45000
1090.4,49614.2,50000
1085.0,54942.2,55000
1277.5,59853.4,60000
1083.9,64712.1,65000
1126.9,69971.2,70000
1415.9,74407.0,75000
1547.5,74273.4,80000
1469.9,77593.2,85000
1487.3,76436.0,90000
1446.5,78872.0,95000
1475.3,77473.4,100000
1469.1,77697.8,105000
1531.3,74274.2,110000
1634.1,69760.7,115000
1390.6,81468.6,120000
