Time,C0,C1,C2,C3
1621614136449,9.1,0.0,0.0,0.0
1621614136549,0.0,11.1,0.0,20.0
1621614136650,0.0,0.0,0.0,0.0
1621614136750,0.0,0.0,0.0,0.0
1621614136851,0.0,0.0,0.0,0.0
1621614136951,0.0,0.0,0.0,0.0
1621614137052,0.0,0.0,0.0,0.0
1621614137152,0.0,0.0,0.0,0.0
1621614137253,9.1,0.0,0.0,0.0
1621614137353,0.0,0.0,0.0,0.0
1621614137454,0.0,10.0,9.1,9.1
1621614137554,0.0,0.0,0.0,0.0
1621614137655,0.0,0.0,0.0,0.0
1621614137755,0.0,0.0,0.0,0.0
1621614137856,10.0,0.0,9.1,9.1
1621614137956,0.0,0.0,0.0,0.0
1621614138057,10.0,0.0,0.0,0.0
1621614138157,0.0,0.0,0.0,0.0
1621614138258,0.0,0.0,10.0,10.0
1621614138358,0.0,0.0,0.0,0.0
1621614138459,0.0,9.1,0.0,0.0
1621614138559,0.0,0.0,0.0,0.0
1621614138660,0.0,0.0,0.0,0.0
1621614138760,0.0,0.0,0.0,0.0
1621614138860,0.0,0.0,0.0,0.0
1621614138961,0.0,0.0,0.0,0.0
1621614139061,0.0,0.0,0.0,0.0
1621614139162,0.0,0.0,0.0,0.0
1621614139262,10.0,0.0,0.0,0.0
1621614139363,0.0,0.0,0.0,0.0
1621614139463,0.0,0.0,0.0,0.0
1621614139564,0.0,0.0,0.0,0.0
1621614139664,0.0,0.0,0.0,0.0
1621614139765,0.0,0.0,0.0,0.0
1621614139865,0.0,0.0,0.0,0.0
1621614139966,0.0,0.0,0.0,9.1
1621614140066,0.0,0.0,0.0,0.0
1621614140166,0.0,0.0,0.0,0.0
1621614140267,0.0,0.0,0.0,0.0
1621614140368,0.0,0.0,0.0,0.0
1621614140468,10.0,0.0,0.0,0.0
1621614140568,0.0,0.0,0.0,0.0
1621614140669,0.0,0.0,0.0,0.0
1621614140769,0.0,0.0,0.0,0.0
1621614140870,0.0,0.0,0.0,0.0
1621614140970,0.0,0.0,0.0,0.0
1621614141071,0.0,0.0,0.0,0.0
1621614141171,0.0,10.0,9.1,0.0
1621614141272,0.0,0.0,0.0,0.0
1621614141372,0.0,0.0,0.0,0.0
1621614141473,0.0,9.1,0.0,0.0
1621614141573,0.0,0.0,0.0,0.0
1621614141674,0.0,0.0,0.0,9.1
1621614141774,0.0,0.0,0.0,0.0
1621614141874,0.0,0.0,0.0,0.0
1621614141975,0.0,0.0,0.0,0.0
1621614142076,0.0,0.0,0.0,0.0
1621614142176,0.0,0.0,0.0,0.0
1621614142277,10.0,10.0,0.0,0.0
1621614142377,0.0,0.0,0.0,0.0
1621614142477,0.0,10.0,0.0,0.0
1621614142578,0.0,0.0,0.0,0.0
1621614142679,0.0,0.0,0.0,9.1
1621614142779,0.0,9.1,0.0,9.1
1621614142880,0.0,0.0,9.1,0.0
1621614142980,0.0,0.0,0.0,0.0
1621614143081,0.0,0.0,0.0,0.0
1621614143181,0.0,0.0,10.0,0.0
1621614143282,10.0,0.0,0.0,0.0
1621614143382,0.0,0.0,0.0,0.0
1621614143482,11.1,11.1,11.1,0.0
1621614143583,0.0,0.0,0.0,0.0
1621614143684,10.0,0.0,0.0,0.0
1621614143784,0.0,0.0,0.0,0.0
1621614143885,0.0,10.0,0.0,0.0
1621614143985,10.0,0.0,0.0,0.0
1621614144086,0.0,0.0,0.0,0.0
1621614144186,0.0,0.0,0.0,0.0
1621614144286,0.0,0.0,0.0,0.0
1621614144387,0.0,0.0,0.0,0.0
1621614144487,0.0,10.0,10.0,0.0
