p95 QPS
827.1 5037.4
1204.5 9959.2
1256.3 15055.4
1430.5 19955.8
1511.9 25029.6
1434.1 29978.4
1553.8 35069.6
1700.9 40091.8
1511.0 44919.2
1747.4 50029.2
2439.2 49150.6
