#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      316.4   409.2    74.4   131.9   149.1   263.9   319.9   353.8   379.9   413.2   461.2   550.4  1069.9  6317.2 12474.6  30036.7    30000
read      293.1   419.1    74.4   128.5   143.2   243.9   293.8   324.0   347.7   377.4   417.2   484.5   857.7  6665.1 12423.5  30043.8    30010
read      304.2   429.8    80.4   130.4   146.3   252.9   304.8   336.8   361.8   392.5   432.8   505.9   971.3  6595.2 12821.1  30039.3    30020
read      312.9   441.2    80.4   130.1   146.5   259.4   314.1   347.1   373.8   406.6   451.3   532.0  1063.8  6785.1 13613.6  29987.0    30030
read      296.0   369.2    74.4   130.5   146.8   254.3   306.1   336.9   360.9   390.7   430.7   502.3   796.4  6050.5 11953.5  30012.6    30040
read      271.4   208.6    74.4   131.1   148.2   249.0   295.9   323.1   343.6   369.1   403.0   462.8   616.3  2096.5  8431.6  30008.7    30050
read      273.5   210.7    74.4   130.3   146.3   248.8   298.2   327.1   348.1   374.3   411.9   472.2   628.4  2443.6  7835.7  30053.5    30060
read      264.3   218.3    74.4   128.5   144.8   242.2   287.4   313.4   333.2   357.6   391.0   447.5   591.2  2447.8  9286.0  30065.3    30070
read      270.2   211.9    68.9   127.5   144.6   248.0   294.5   321.2   342.0   367.7   402.2   462.4   622.3  2264.8  7925.7  30134.6    30080
read      266.1   190.4    68.9   127.6   144.5   245.8   291.6   317.5   337.5   361.9   394.4   450.4   606.5  1870.6  8331.3  30107.0    30090
read      264.9   201.7    74.4   129.2   145.6   243.0   288.3   314.5   334.4   358.9   392.4   449.0   596.2  2251.9  8202.1  30033.1    30100
read      259.7   206.4    74.4   128.1   142.7   236.7   282.6   308.7   327.9   351.1   382.8   435.4   582.5  2400.7  8209.2  30156.0    30110
read      251.6   195.6    74.4   127.9   142.5   229.8   272.8   298.0   317.0   339.9   369.8   420.3   553.0  2052.8  8368.1  30186.8    30120
read      279.3   218.1    74.4   131.0   148.9   254.5   302.6   331.4   353.5   381.9   421.2   484.9   639.1  2827.9  8234.4  30110.8    30130
read      256.2   203.3    74.4   127.7   142.3   233.7   278.3   304.2   323.0   346.1   377.3   429.5   574.8  2116.3  8092.7  30078.4    30140
read      273.1   206.8    74.4   131.6   148.8   250.9   298.5   326.4   346.9   373.1   408.0   466.8   619.8  1902.9  8703.0  30139.7    30150
read      259.7   193.9    74.4   129.3   144.6   238.4   283.8   309.7   328.8   351.9   382.8   433.7   573.6  2231.0  8011.2  30121.9    30160
