p95,QPS,target
498.6,4983.3,5000
640.5,9963.2,10000
747.7,14935.8,15000
805.7,19928.2,20000
871.5,24839.4,25000
833.3,29779.2,30000
865.8,34944.0,35000
906.8,40046.5,40000
896.6,44828.8,45000
823.6,50017.2,50000
867.2,54798.6,55000
810.5,60109.7,60000
924.1,64934.8,65000
853.3,70095.0,70000
781.0,74945.6,75000
799.3,79916.6,80000
786.5,85180.8,85000
796.8,89635.3,90000
780.8,95059.8,95000
763.1,99743.4,100000
757.6,104864.6,105000
763.3,109851.6,110000
853.9,114139.9,115000
815.1,119957.7,120000
